"manager_name","country","date_of_birth"
"Steven Gerrard","England","1980-05-30"
"Aaron Danks","England","1983-06-15"
"Gary O'Neil","England","1983-05-18"
"Roberto De Zerbi","Italy","1979-06-06"
"Mike Jackson","England","1973-12-04"
"Vincent Kompany","Belgium","1986-04-10"
"Bruno Saltor","Spain","1980-10-10"
"Paddy McCarthy","Ireland","1983-05-31"
"Oliver Glasner","Austria","1974-08-28"
"Jesse Marsch","United States","1973-11-08"
"Adam Sadler","England","1980-01-09"
"Rob Edwards","Wales","1982-12-25"
"Michael Carrick","England","1981-07-28"
"Ralf Rangnick","Germany","1958-06-29"
"Erik ten Hag","Netherlands","1970-02-02"
"Graeme Jones","England","1970-03-13"
"Steve Cooper","Wales","1979-12-10"
"Rubén Sellés","Spain","1983-06-15"
"Nathan Jones","Wales","1973-05-28"
"Cristian Stellini","Italy","1974-04-27"
"Ange Postecoglou","Australia","1965-08-27"
"Steve Davis","England","1965-07-26"
"Julen Lopetegui","Spain","1966-08-28"