"1992/93","Manchester United","84","Aston Villa","74"
"1993/94","Manchester United","92","Blackburn Rovers","84"
"1994/95","Blackburn Rovers","89","Manchester United","88"
"1995/96","Manchester United","82","Newcastle United","78"
"1996/97","Manchester United","75","Newcastle United","68"
"1997/98","Arsenal","78","Manchester United","77"
"1998/99","Manchester United","79","Arsenal","78"
"1999/00","Manchester United","91","Arsenal","73"
"2000/01","Manchester United","80","Arsenal","70"
"2001/02","Arsenal","87","Liverpool","80"
"2002/03","Manchester United","83","Arsenal","78"
"2003/04","Arsenal","90","Chelsea","79"
"2004/05","Chelsea","95","Arsenal","83"
"2005/06","Chelsea","91","Manchester United","83"
"2006/07","Manchester United","89","Chelsea","83"
"2007/08","Manchester United","87","Chelsea","85"
"2008/09","Manchester United","90","Liverpool","86"
"2009/10","Chelsea","86","Manchester United","85"
"2010/11","Manchester United","80","Chelsea","71"
"2011/12","Manchester City","89","Manchester United","89"
"2012/13","Manchester United","89","Manchester City","78"
"2013/14","Manchester City","86","Liverpool","84"
"2014/15","Chelsea","87","Manchester City","79"
"2015/16","Leicester City","81","Arsenal","71"
"2016/17","Chelsea","93","Tottenham Hotspur","86"
"2017/18","Manchester City","100","Manchester United","81"
"2018/19","Manchester City","98","Liverpool","97"
"2019/20","Liverpool","99","Manchester City","81"
"2020/21","Manchester City","86","Manchester United","74"
"2021/22","Manchester City","93","Liverpool","92"
"2022/23","Manchester City","89","Arsenal","84"